Player Name,GP,G,A.,Pts,PIM,Seasons,Yrs.,Pos.,Birthdate,Birthplace
Alfie Turcotte,85,15,23,38,47,1983-1986,3,C,1965-06-05,"Gary, IN"
Pierre Turgeon,104,50,77,127,50,1994-1997,3,C,1969-08-28,"Rouyn-Noranda, PQ"
Sylvain Turgeon,75,14,18,32,59,1990-1992,2,L,1965-01-17,"Rouyn-Noranda, PQ"
Perry Turnbull,40,6,7,13,59,1983-1984,1,L,1959-03-09,"Bentley, ALTA"
Bob Turner,339,8,46,54,235,1955-1961,6,D,1934-01-31,"Regina, SASK"
Igor Ulanov,123,4,15,19,197,1997-2000,3,D,1969-10-01,"Krasnokamsk, Russia"
Rogatien Vachon,206,0,1,1,4,1966-1972,6,G,1945-09-08,"Palmarolle, PQ"
Carol Vadnais,42,1,4,5,66,1966-1968,2,D,1945-09-25,"Montreal, PQ"
Rinat Valiev,2,0,0,0,2,2017-2018,1,D,1995-05-11,"Nizhnekamsk, Russia"
Lindsay Vallis,1,0,0,0,0,1993-1994,1,R,1971-01-12,"Winnipeg, MAN"
Shaun Van Allen,54,6,9,15,20,2001-2002,1,C,1967-08-29,"Calgary, ALTA"
John Van Boxmeer,79,7,18,25,49,1973-1977,4,D,1952-11-20,"Petrolia, ONT"
Thomas Vanek,18,6,9,15,8,2013-2014,1,L,1984-01-19,"Vienna, Austria"
Lukas Vejdemo,13,2,0,2,0,2019-2022,2,C,1996-01-25,"Stockholm, Sweden"
Georges Vezina,88,0,0,0,2,1917-1926,5,G,,
Tomas Vokoun,1,0,0,0,0,1996-1997,1,G,1976-07-02,"Karlovy Vary, Czech Rep."
Vladimir Vujtek,2,0,0,0,0,1991-1992,1,R,1972-02-17,"Ostrava, Czech Rep."
Mick Vukota,22,0,0,0,76,1997-1998,1,R,1966-09-14,"Saskatoon, SASK"
Ernie Wakely,2,0,0,0,0,1962-1969,2,G,1940-11-27,"Flin Flon, MAN"
Ryan Walter,604,141,208,349,419,1982-1991,9,C,1958-04-23,"New Westminster, BC"
Bob Walton,4,0,0,0,0,1943-1944,1,R,1917-08-05,"Ottawa, ONT"
Rick Wamsley,131,0,6,6,14,1980-1984,4,G,1959-05-25,"Simcoe, ONT"
Jason Ward,105,10,10,20,43,1999-2004,4,R,1979-01-16,"Mississauga, ONT"
Jimmy Ward,36,4,3,7,0,1938-1939,1,R,1906-09-01,"Fort William, ONT"
Grant Warwick,26,2,6,8,19,1949-1950,1,R,1921-10-11,"Regina, SASK"
Nick Wasnie,136,31,15,46,106,1929-1932,3,R,1905-01-28,"Winnipeg, MAN"
Bryan Watson,56,0,4,4,34,1963-1968,3,D,1942-11-14,"Bancroft, ONT"
Phil Watson,44,17,32,49,61,1943-1944,1,C,1914-10-24,"Montreal, PQ"
Jordan Weal,65,12,13,25,16,2018-2020,2,C,1992-04-15,"North Vancouver, BC"
Mike Weaver,48,1,10,11,14,2013-2015,2,D,1978-05-02,"Bramalea, ONT"
Shea Weber,275,58,88,146,146,2016-2021,5,D,1985-08-14,"Sicamous, BC"
Yannick Weber,115,5,27,32,52,2008-2013,5,D,1988-09-23,"Morges, Switzerland"
Eric Weinrich,203,16,56,72,150,1998-2001,3,D,1966-12-19,"Roanoke, VA"
Dale Weise,184,28,36,64,93,2013-2020,5,R,1988-08-05,"Winnipeg, MAN"
"Marvin ""Cyclone"" Wentworth",77,1,6,7,18,1938-1940,2,D,1905-01-24,"Grimsby, ONT"
"Leonard ""Moe"" White",4,0,1,1,2,1945-1946,1,D,,"Verdun, PQ"
Ryan White,141,5,12,17,232,2009-2014,5,C,1988-03-17,"Brandon, MAN"
Doug Wickenheiser,202,49,66,115,118,1980-1984,4,C,1961-03-30,"Regina, SASK"
Chris Wideman,110,4,29,33,148,2021-2023,2,D,1990-01-07,"St. Louis, MO"
David Wilkie,91,8,14,22,77,1994-1998,4,D,1974-05-30,"Ellensburg, WA"
Don Willson,22,2,7,9,0,1937-1939,2,C,1914-01-01,"Chatham, ONT"
"Carol ""Cully"" Wilson",9,6,1,7,40,1920-1921,1,R,,
Jerry Wilson,3,0,0,0,2,1956-1957,1,F,1937-04-10,"Edmonton, ALTA"
Murray Wilson,328,83,80,163,148,1972-1978,6,F,1951-11-11,"Toronto, ONT"
Rick Wilson,21,0,2,2,6,1973-1974,1,D,1950-08-10,"Prince Albert, SASK"
Ron Wilson,48,2,10,12,12,1993-1994,1,C,1956-05-13,"Toronto, ONT"
James Wisniewski,43,7,23,30,20,2010-2011,1,D,1984-02-21,"Canton, MI"
Johan Witehall,26,1,1,2,6,2000-2001,1,R,1972-01-07,"Gotenborg, Sweden"
"Lorne ""Gump"" Worsley",171,0,1,1,18,1963-1970,7,G,1929-05-14,"Montreal, PQ"
Roy Worters,1,0,0,0,0,1929-1930,1,G,1900-10-19,"Toronto, ONT"
J.T. Wyman,3,0,0,0,0,2009-2010,1,R,1986-02-27,"Wayzata, MN"
Arber Xhekaj,70,6,10,16,154,2022-2024,2,D,2001-01-30,"Hamilton, ONT"
Jesse Ylonen,91,11,17,28,10,2020-2024,4,R,1999-10-03,"Scottsdale, AZ"
Doug Young,50,3,9,12,26,1939-1941,2,D,1908-10-01,"Medicine Hat, ALTA"
Zarley Zalapski,28,1,5,6,22,1997-1998,1,D,1968-04-22,"Edmonton, ALTA"
Richard Zednik,322,98,85,183,259,2000-2006,5,L,1976-01-06,"Banska Bystrica, Slovakia"
Sergei Zholtok,170,34,37,71,42,1998-2001,3,C,1972-12-02,"Riga, Latvia"
Dainius Zubrus,139,29,45,74,88,1998-2001,3,C,1978-06-16,"Elektrenai, Lithuania"
